epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1829,0.63868,2.28623,0.99021,1,0.95229,0.99152,0.85615,0.55087,2.18086,0.91981,0.000657143,0.000657143,0.000657143
2,48.6039,0.63788,1.47348,0.98011,0.61533,0.61905,0.61754,0.5484,0.59087,2.35036,0.96306,0.0012976,0.0012976,0.0012976
3,60.1603,0.70871,1.56344,1.02063,0.99158,1,0.995,0.81491,0.69135,1.39919,1.02016,0.00191165,0.00191165,0.00191165
4,72.6274,0.76479,1.55483,1.05229,0.90932,1,0.98676,0.74446,0.73798,1.5331,0.96352,0.0018812,0.0018812,0.0018812
5,83.2979,0.66342,1.29639,0.96764,0.99708,1,0.995,0.89414,0.5188,1.00598,0.8917,0.0018416,0.0018416,0.0018416
6,93.409,0.62758,1.08919,0.96847,0.99454,0.85714,0.92679,0.8348,0.56495,1.34096,0.90891,0.001802,0.001802,0.001802
7,103.615,0.64676,1.01995,0.97381,0.99644,1,0.995,0.91977,0.44789,0.80552,0.867,0.0017624,0.0017624,0.0017624
8,113.096,0.58421,0.95782,0.9317,0.99617,1,0.995,0.90264,0.43552,0.64243,0.87564,0.0017228,0.0017228,0.0017228
9,123.021,0.59974,0.88792,0.96647,0.99538,1,0.995,0.88869,0.44549,0.63568,0.8643,0.0016832,0.0016832,0.0016832
10,133.17,0.55702,0.84019,0.95096,0.9516,1,0.98864,0.90466,0.421,0.67161,0.87077,0.0016436,0.0016436,0.0016436
11,143.394,0.53092,0.82758,0.95362,0.99324,1,0.995,0.91854,0.39888,0.51986,0.85586,0.001604,0.001604,0.001604
12,153.337,0.55912,0.77226,0.92887,0.99463,1,0.995,0.90242,0.39799,0.47202,0.85141,0.0015644,0.0015644,0.0015644
13,163.578,0.50583,0.69895,0.92987,0.99218,1,0.995,0.89586,0.42818,0.6136,0.86441,0.0015248,0.0015248,0.0015248
14,173.856,0.49032,0.67238,0.92609,0.99706,1,0.995,0.91026,0.36427,0.50597,0.85742,0.0014852,0.0014852,0.0014852
15,183.812,0.49502,0.64557,0.94236,0.99459,1,0.995,0.91362,0.42055,0.49847,0.86712,0.0014456,0.0014456,0.0014456
16,193.525,0.47312,0.62449,0.90325,0.99712,1,0.995,0.94272,0.3455,0.38955,0.84928,0.001406,0.001406,0.001406
17,202.776,0.47193,0.62535,0.90034,0.99717,1,0.995,0.92836,0.31197,0.42248,0.83706,0.0013664,0.0013664,0.0013664
18,212.366,0.49076,0.58523,0.93815,0.99732,1,0.995,0.94831,0.30463,0.38058,0.83674,0.0013268,0.0013268,0.0013268
19,223.036,0.46328,0.60335,0.9091,0.99713,1,0.995,0.94706,0.36181,0.41092,0.85526,0.0012872,0.0012872,0.0012872
20,232.453,0.46932,0.59175,0.90063,0.99667,1,0.995,0.93081,0.36328,0.4347,0.87887,0.0012476,0.0012476,0.0012476
21,242.937,0.45545,0.57117,0.91759,0.99706,1,0.995,0.94035,0.36142,0.36538,0.8532,0.001208,0.001208,0.001208
22,252.669,0.46536,0.56451,0.92567,0.99706,1,0.995,0.958,0.32047,0.36884,0.83703,0.0011684,0.0011684,0.0011684
23,262.581,0.42692,0.51769,0.89003,0.99744,1,0.995,0.94108,0.3124,0.32147,0.83328,0.0011288,0.0011288,0.0011288
24,272.706,0.43049,0.52904,0.91954,0.99732,1,0.995,0.97014,0.3015,0.32214,0.83817,0.0010892,0.0010892,0.0010892
25,282.843,0.44959,0.4946,0.91571,0.99728,1,0.995,0.97214,0.27462,0.29571,0.8334,0.0010496,0.0010496,0.0010496
26,292.989,0.41868,0.48366,0.8852,0.99735,1,0.995,0.94091,0.32106,0.28026,0.84493,0.00101,0.00101,0.00101
27,303.151,0.41564,0.45686,0.89879,0.99735,1,0.995,0.92836,0.36295,0.29199,0.83962,0.0009704,0.0009704,0.0009704
28,313.142,0.414,0.50421,0.89308,0.99697,1,0.995,0.9712,0.27103,0.32845,0.83277,0.0009308,0.0009308,0.0009308
29,323.323,0.39399,0.49103,0.87787,0.99729,1,0.995,0.97557,0.25183,0.26116,0.82792,0.0008912,0.0008912,0.0008912
30,332.987,0.39825,0.43114,0.88632,0.99735,1,0.995,0.9743,0.28119,0.25907,0.83225,0.0008516,0.0008516,0.0008516
31,342.665,0.3939,0.45316,0.88771,0.99726,1,0.995,0.98332,0.26102,0.29903,0.83154,0.000812,0.000812,0.000812
32,353.309,0.38856,0.42817,0.88712,0.99738,1,0.995,0.96528,0.29586,0.289,0.82992,0.0007724,0.0007724,0.0007724
33,363.346,0.39939,0.47324,0.91146,0.99716,1,0.995,0.98043,0.23675,0.28722,0.8276,0.0007328,0.0007328,0.0007328
34,373.501,0.36671,0.44595,0.88063,0.99734,1,0.995,0.97903,0.26621,0.25805,0.82819,0.0006932,0.0006932,0.0006932
35,383.776,0.36973,0.42527,0.90782,0.99718,1,0.995,0.9853,0.2463,0.27067,0.82828,0.0006536,0.0006536,0.0006536
36,393.724,0.34402,0.45063,0.87474,0.99714,1,0.995,0.99052,0.24974,0.27375,0.829,0.000614,0.000614,0.000614
37,403.567,0.36445,0.41129,0.90401,0.99737,1,0.995,0.97876,0.24417,0.25312,0.82955,0.0005744,0.0005744,0.0005744
38,413.262,0.356,0.45136,0.88096,0.99732,1,0.995,0.995,0.21337,0.26345,0.82714,0.0005348,0.0005348,0.0005348
39,422.422,0.36549,0.43379,0.90671,0.99724,1,0.995,0.995,0.22286,0.26739,0.82603,0.0004952,0.0004952,0.0004952
40,432.129,0.34129,0.37787,0.87372,0.99744,1,0.995,0.99052,0.22118,0.23775,0.82249,0.0004556,0.0004556,0.0004556
41,481.394,0.29856,0.39256,0.88337,0.99738,1,0.995,0.98645,0.23986,0.23845,0.82784,0.000416,0.000416,0.000416
42,491.46,0.29829,0.38566,0.88429,0.99726,1,0.995,0.995,0.23618,0.25711,0.82861,0.0003764,0.0003764,0.0003764
43,501.076,0.30265,0.36319,0.84998,0.99739,1,0.995,0.98962,0.2278,0.23406,0.82125,0.0003368,0.0003368,0.0003368
44,509.921,0.27088,0.38676,0.84705,0.99735,1,0.995,0.9901,0.2199,0.22081,0.82346,0.0002972,0.0002972,0.0002972
45,518.721,0.29517,0.38047,0.8589,0.99731,1,0.995,0.9789,0.22507,0.21918,0.82172,0.0002576,0.0002576,0.0002576
46,527.98,0.27986,0.35213,0.85234,0.99725,1,0.995,0.98962,0.20952,0.22392,0.82389,0.000218,0.000218,0.000218
47,537.128,0.26641,0.34142,0.84452,0.99729,1,0.995,0.98645,0.1874,0.21348,0.81972,0.0001784,0.0001784,0.0001784
48,546.425,0.25934,0.33197,0.85782,0.99736,1,0.995,0.995,0.19894,0.19971,0.81994,0.0001388,0.0001388,0.0001388
49,555.684,0.27206,0.33813,0.86154,0.99734,1,0.995,0.99029,0.19885,0.19836,0.81965,9.92e-05,9.92e-05,9.92e-05
50,564.555,0.26001,0.33092,0.8604,0.99735,1,0.995,0.98986,0.18819,0.19627,0.82004,5.96e-05,5.96e-05,5.96e-05
